Token,Symbol,DisplayName,Description,Series,LotSize,TickSize,ExpiryDate,StrikePrice,OptionType,UnderlyingSymbol,AssetToken,PriceBandHigh,PriceBandLow,LTP,Open,High,Low,Close,PrevClose,Volume,IV,Delta,Gamma,Vega,Theta,InstrumentType
828400,SENSEX50,SENSEX50 25MAR2026 PE 26900,SENSEX5026MAR26900PE,IO,75,0.05,25MAR2026,26900,PE,SENSEX50,-1,519.55,80.35,0,0,0,0,0,0,0,0,0,0,0,0,2
1142994,BANKEX,BANKEX 29JAN2026 CE 66800,BANKEX26JAN66800CE,IO,30,0.05,29JAN2026,66800,CE,BANKEX,-1,2057.8,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
837192,SENSEX,SENSEX 19FEB2026 PE 83300,SENSEX2621983300PE,IO,20,0.05,19FEB2026,83300,PE,SENSEX,-1,851.35,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1164844,SENSEX,SENSEX 15JAN2026 PE 82200,SENSEX2611582200PE,IO,20,0.05,15JAN2026,82200,PE,SENSEX,-1,186.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1171622,SENSEX,SENSEX 22JAN2026 PE 80300,SENSEX2612280300PE,IO,20,0.05,22JAN2026,80300,PE,SENSEX,-1,63.65,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1160195,SENSEX,SENSEX 25MAR2026 CE 91000,SENSEX26MAR91000CE,IO,20,0.05,25MAR2026,91000,CE,SENSEX,-1,858.9,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
830473,BANKEX,BANKEX 25MAR2026 CE 66200,BANKEX26MAR66200CE,IO,30,0.05,25MAR2026,66200,CE,BANKEX,-1,3434.45,685.15,0,0,0,0,0,0,0,0,0,0,0,0,2
1171948,SENSEX,SENSEX 22JAN2026 PE 88700,SENSEX2612288700PE,IO,20,0.05,22JAN2026,88700,PE,SENSEX,-1,5366.7,1160.1,0,0,0,0,0,0,0,0,0,0,0,0,2
1171919,SENSEX,SENSEX 22JAN2026 CE 89900,SENSEX2612289900CE,IO,20,0.05,22JAN2026,89900,CE,SENSEX,-1,198.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1168231,BANKEX,BANKEX 26FEB2026 CE 70900,BANKEX26FEB70900CE,IO,30,0.05,26FEB2026,70900,CE,BANKEX,-1,528.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1167982,SENSEX,SENSEX 26FEB2026 CE 82400,SENSEX26FEB82400CE,IO,20,0.05,26FEB2026,82400,CE,SENSEX,-1,5691.95,1611.25,0,0,0,0,0,0,0,0,0,0,0,0,2
1111241,SENSEX,SENSEX 24SEP2026 PE 80000,SENSEX26SEP80000PE,IO,20,0.05,24SEP2026,80000,PE,SENSEX,-1,545.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
1159880,SENSEX,SENSEX 08JAN2026 PE 90700,SENSEX2610890700PE,IO,20,0.05,08JAN2026,90700,PE,SENSEX,-1,7899.95,2931.6,0,0,0,0,0,0,0,0,0,0,0,0,2
1140878,SENSEX,SENSEX 29JAN2026 CE 85700,SENSEX26JAN85700CE,IO,20,0.05,29JAN2026,85700,CE,SENSEX,-1,2124.2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,2
