id,index_name,token,created_at
1,HangSeng BeES-NAV,26016,2025-11-10 14:49:50.990300
2,India VIX,26017,2025-11-10 14:49:50.990300
3,Nifty 50,26000,2025-11-10 14:49:50.990300
4,Nifty IT,26008,2025-11-10 14:49:50.990300
5,Nifty Next 50,26013,2025-11-10 14:49:50.990300
6,Nifty Bank,26009,2025-11-10 14:49:50.990300
7,Nifty 500,26004,2025-11-10 14:49:50.990300
8,Nifty 100,26012,2025-11-10 14:49:50.990300
9,Nifty Midcap 50,26014,2025-11-10 14:49:50.990300
10,Nifty Realty,26018,2025-11-10 14:49:50.990300
11,Nifty Infra,26019,2025-11-10 14:49:50.990300
12,Nifty Energy,26020,2025-11-10 14:49:50.990300
13,Nifty FMCG,26021,2025-11-10 14:49:50.990300
14,Nifty MNC,26022,2025-11-10 14:49:50.990300
15,Nifty Pharma,26023,2025-11-10 14:49:50.990300
16,Nifty PSE,26024,2025-11-10 14:49:50.990300
17,Nifty PSU Bank,26025,2025-11-10 14:49:50.990300
18,Nifty Serv Sector,26026,2025-11-10 14:49:50.990300
19,Nifty Auto,26029,2025-11-10 14:49:50.990300
20,Nifty Metal,26030,2025-11-10 14:49:50.990300
21,Nifty Media,26031,2025-11-10 14:49:50.990300
22,Nifty 200,26033,2025-11-10 14:49:50.990300
23,Nifty Div Opps 50,26034,2025-11-10 14:49:50.990300
24,Nifty Commodities,26035,2025-11-10 14:49:50.990300
25,Nifty Consumption,26036,2025-11-10 14:49:50.990300
26,Nifty Fin Service,26037,2025-11-10 14:49:50.990300
27,Nifty50 Div Point,26038,2025-11-10 14:49:50.990300
28,Nifty100 Liq 15,26040,2025-11-10 14:49:50.990300
29,Nifty CPSE,26041,2025-11-10 14:49:50.990300
30,Nifty GrowSect 15,26001,2025-11-10 14:49:50.990300
31,Nifty50 PR 2x Lev,26002,2025-11-10 14:49:50.990300
32,Nifty50 PR 1x Inv,26042,2025-11-10 14:49:50.990300
33,Nifty50 TR 2x Lev,26043,2025-11-10 14:49:50.990300
34,Nifty50 TR 1x Inv,26044,2025-11-10 14:49:50.990300
35,Nifty50 Value 20,26045,2025-11-10 14:49:50.990300
36,Nifty Mid Liq 15,26046,2025-11-10 14:49:50.990300
37,Nifty Pvt Bank,26047,2025-11-10 14:49:50.990300
38,NIFTY100 Qualty30,26048,2025-11-10 14:49:50.990300
39,NIFTY MIDCAP 100,26011,2025-11-10 14:49:50.990300
40,NIFTY SMLCAP 100,26032,2025-11-10 14:49:50.990300
41,Nifty GS 8 13Yr,26049,2025-11-10 14:49:50.990300
42,Nifty GS 10Yr,26050,2025-11-10 14:49:50.990300
43,Nifty GS 10Yr Cln,26051,2025-11-10 14:49:50.990300
44,Nifty GS 4 8Yr,26052,2025-11-10 14:49:50.990300
45,Nifty GS 11 15Yr,26053,2025-11-10 14:49:50.990300
46,Nifty GS 15YrPlus,26054,2025-11-10 14:49:50.990300
47,Nifty GS Compsite,26055,2025-11-10 14:49:50.990300
48,NIFTY50 EQL Wgt,26056,2025-11-10 14:49:50.990300
49,NIFTY100 EQL Wgt,26057,2025-11-10 14:49:50.990300
50,NIFTY100 LowVol30,26058,2025-11-10 14:49:50.990300
51,NIFTY Alpha 50,26059,2025-11-10 14:49:50.990300
52,NIFTY MIDCAP 150,26060,2025-11-10 14:49:50.990300
53,NIFTY SMLCAP 50,26061,2025-11-10 14:49:50.990300
54,NIFTY SMLCAP 250,26062,2025-11-10 14:49:50.990300
55,NIFTY MIDSML 400,26063,2025-11-10 14:49:50.990300
56,NIFTY200 QUALTY30,26064,2025-11-10 14:49:50.990300
57,Nifty FinSrv25 50,26065,2025-11-10 14:49:50.990300
58,NIFTY AlphaLowVol,26066,2025-11-10 14:49:50.990300
59,Nifty200Momentm30,26067,2025-11-10 14:49:50.990300
60,Nifty100ESGSecLdr,26068,2025-11-10 14:49:50.990300
61,NIFTY HEALTHCARE,26069,2025-11-10 14:49:50.990300
62,NIFTY CONSR DURBL,26070,2025-11-10 14:49:50.990300
63,NIFTY OIL AND GAS,26071,2025-11-10 14:49:50.990300
64,NIFTY500 MULTICAP,26072,2025-11-10 14:49:50.990300
65,NIFTY LARGEMID250,26073,2025-11-10 14:49:50.990300
66,NIFTY MID SELECT,26074,2025-11-10 14:49:50.990300
67,NIFTY TOTAL MKT,26075,2025-11-10 14:49:50.990300
68,NIFTY MICROCAP250,26076,2025-11-10 14:49:50.990300
